vintage,vintage_year,vintage_month,forecast_year,iso3,country,subject_code,subject_descriptor,units,value
1995-Oct,1995,Oct,1996,DEU,Germany,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.0762107127135263
1995-Oct,1995,Oct,1996,ESP,Spain,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.1874776013680756
1995-Oct,1995,Oct,1996,FIN,Finland,BCA_GDP_BP6,Current account balance,Percent of GDP,1.0207505961087082
1995-Oct,1995,Oct,1996,FRA,France,BCA_GDP_BP6,Current account balance,Percent of GDP,0.9702723828155293
1995-Oct,1995,Oct,1996,GRC,Greece,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.634858150118889
1995-Oct,1995,Oct,1996,IRL,Ireland,BCA_GDP_BP6,Current account balance,Percent of GDP,7.010375273995346
1995-Oct,1995,Oct,1996,ITA,Italy,BCA_GDP_BP6,Current account balance,Percent of GDP,2.288191601543331
1995-Oct,1995,Oct,1996,LUX,Luxembourg,BCA_GDP_BP6,Current account balance,Percent of GDP,
1995-Oct,1995,Oct,1996,NLD,Netherlands,BCA_GDP_BP6,Current account balance,Percent of GDP,2.752868094062889
1995-Oct,1995,Oct,1996,PRT,Portugal,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.34513439344607594
1996-Apr,1996,Apr,1997,AUT,Austria,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.7844410657608054
1996-Apr,1996,Apr,1997,BEL,Belgium,BCA_GDP_BP6,Current account balance,Percent of GDP,6.32271922568602
1996-Apr,1996,Apr,1997,DEU,Germany,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.457091377479278
1996-Apr,1996,Apr,1997,ESP,Spain,BCA_GDP_BP6,Current account balance,Percent of GDP,0.23803291613109126
1996-Apr,1996,Apr,1997,FIN,Finland,BCA_GDP_BP6,Current account balance,Percent of GDP,2.6242159108581453
1996-Apr,1996,Apr,1997,FRA,France,BCA_GDP_BP6,Current account balance,Percent of GDP,0.7820732716354183
1996-Apr,1996,Apr,1997,GRC,Greece,BCA_GDP_BP6,Current account balance,Percent of GDP,-2.0308480692288713
1996-Apr,1996,Apr,1997,IRL,Ireland,BCA_GDP_BP6,Current account balance,Percent of GDP,6.138974761159279
1996-Apr,1996,Apr,1997,ITA,Italy,BCA_GDP_BP6,Current account balance,Percent of GDP,2.575118576369526
1996-Apr,1996,Apr,1997,LUX,Luxembourg,BCA_GDP_BP6,Current account balance,Percent of GDP,
1996-Apr,1996,Apr,1997,NLD,Netherlands,BCA_GDP_BP6,Current account balance,Percent of GDP,3.848257302334094
1996-Apr,1996,Apr,1997,PRT,Portugal,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.4133255646430243
1996-Oct,1996,Oct,1997,AUT,Austria,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.8465932576620699
1996-Oct,1996,Oct,1997,BEL,Belgium,BCA_GDP_BP6,Current account balance,Percent of GDP,6.025298475274636
1996-Oct,1996,Oct,1997,DEU,Germany,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.7028333111780973
1996-Oct,1996,Oct,1997,ESP,Spain,BCA_GDP_BP6,Current account balance,Percent of GDP,0.5325743134809128
1996-Oct,1996,Oct,1997,FIN,Finland,BCA_GDP_BP6,Current account balance,Percent of GDP,2.7996613017611165
1996-Oct,1996,Oct,1997,FRA,France,BCA_GDP_BP6,Current account balance,Percent of GDP,1.5279771811133596
1996-Oct,1996,Oct,1997,GRC,Greece,BCA_GDP_BP6,Current account balance,Percent of GDP,-2.102480504848558
1996-Oct,1996,Oct,1997,IRL,Ireland,BCA_GDP_BP6,Current account balance,Percent of GDP,1.7284617237667863
1996-Oct,1996,Oct,1997,ITA,Italy,BCA_GDP_BP6,Current account balance,Percent of GDP,1.9053238519782454
